DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,EDUCATION_LEVEL:Education Level,WEALTH_QUINTILE:Wealth Quintile,RESIDENCE:Residence,UNIT_MEASURE:Unit of measure,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,SOURCE_LINK:Citation of or link to the data source,SERIES_FOOTNOTE:Series footnote,OBS_STATUS:Observation Status,DATA_SOURCE:Data Source,OBS_CONF:Observation confidentaility,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,COVERAGE_TIME:The period of time for which data are provided,OBS_FOOTNOTE:Observation footnote,FREQ_COLL:Time interval at which the source data are collected
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",M: Male,ISCED11_02: Pre-primary education,_T: Total,_T: Total,PCNT: %,2010,54.39397,,,,AD: Adjusted,MICS 2010,F: Free,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",_T: Total,ISCED11_02: Pre-primary education,Q1: Lowest,_T: Total,PCNT: %,2010,30.63548,,,,AD: Adjusted,MICS 2010,F: Free,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",_T: Total,ISCED11_02: Pre-primary education,Q2: Second,_T: Total,PCNT: %,2010,36.8282,,,,AD: Adjusted,MICS 2010,F: Free,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",_T: Total,ISCED11_02: Pre-primary education,Q3: Middle,_T: Total,PCNT: %,2010,38.8569,,,,AD: Adjusted,MICS 2010,F: Free,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",_T: Total,ISCED11_02: Pre-primary education,Q4: Fourth,_T: Total,PCNT: %,2010,60.30507,,,,AD: Adjusted,MICS 2010,F: Free,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",_T: Total,ISCED11_02: Pre-primary education,Q5: Highest,_T: Total,PCNT: %,2010,86.05677,,,,AD: Adjusted,MICS 2010,F: Free,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",_T: Total,ISCED11_02: Pre-primary education,_T: Total,R: Rural,PCNT: %,2010,42.63364,,,,AD: Adjusted,MICS 2010,F: Free,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",_T: Total,ISCED11_02: Pre-primary education,_T: Total,U: Urban,PCNT: %,2010,68.10712,,,,AD: Adjusted,MICS 2010,F: Free,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",_T: Total,ISCED11_02: Pre-primary education,_T: Total,_T: Total,PCNT: %,2010,50.78408,,,,AD: Adjusted,MICS 2010,F: Free,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,F: Female,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2012,94.8,,,,AD: Adjusted,Living Standard Survey 2012,,EOF: End of fieldwork,2012,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,M: Male,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2012,95.5,,,,AD: Adjusted,Living Standard Survey 2012,,EOF: End of fieldwork,2012,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q1: Lowest,_T: Total,PCNT: %,2012,40.6,,,,AD: Adjusted,Living Standard Survey 2012,,EOF: End of fieldwork,2012,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,_T: Total,ISCED11_1: Primary education,_T: Total,R: Rural,PCNT: %,2012,94,,,,AD: Adjusted,Living Standard Survey 2012,,EOF: End of fieldwork,2012,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,_T: Total,ISCED11_1: Primary education,_T: Total,U: Urban,PCNT: %,2012,97.9,,,,AD: Adjusted,Living Standard Survey 2012,,EOF: End of fieldwork,2012,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ANAR_L1: Adjusted net attendance rate for children of primary school age,_T: Total,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2012,95.2,,,,AD: Adjusted,Living Standard Survey 2012,,EOF: End of fieldwork,2012,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,F: Female,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2010,53.9,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,M: Male,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2010,51.6,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q1: Lowest,_T: Total,PCNT: %,2010,26.8,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q2: Second,_T: Total,PCNT: %,2010,36.8,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q3: Middle,_T: Total,PCNT: %,2010,47.9,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q4: Fourth,_T: Total,PCNT: %,2010,65.8,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q5: Highest,_T: Total,PCNT: %,2010,81.3,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,_T: Total,R: Rural,PCNT: %,2010,43.9,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,_T: Total,U: Urban,PCNT: %,2010,74.3,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ANAR_L2: Adjusted net attendance rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2010,52.8,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,F: Female,ISCED11_3: Upper secondary education,_T: Total,_T: Total,PCNT: %,2010,25.7,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,M: Male,ISCED11_3: Upper secondary education,_T: Total,_T: Total,PCNT: %,2010,21.8,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,Q1: Lowest,_T: Total,PCNT: %,2010,3.9,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,Q2: Second,_T: Total,PCNT: %,2010,6.7,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,Q3: Middle,_T: Total,PCNT: %,2010,13.5,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,Q4: Fourth,_T: Total,PCNT: %,2010,29.2,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,Q5: Highest,_T: Total,PCNT: %,2010,57.7,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,_T: Total,R: Rural,PCNT: %,2010,15,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,_T: Total,U: Urban,PCNT: %,2010,44.7,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ANAR_L3: Adjusted net attendance rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,_T: Total,_T: Total,PCNT: %,2010,23.7,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L1: Completion rate for children of primary school age,F: Female,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2010,70.8,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L1: Completion rate for children of primary school age,M: Male,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2010,66.5,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L1: Completion rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q1: Lowest,_T: Total,PCNT: %,2010,42.7,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L1: Completion rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q2: Second,_T: Total,PCNT: %,2010,55.3,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L1: Completion rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q3: Middle,_T: Total,PCNT: %,2010,67.7,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L1: Completion rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q4: Fourth,_T: Total,PCNT: %,2010,82.6,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L1: Completion rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q5: Highest,_T: Total,PCNT: %,2010,90,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L1: Completion rate for children of primary school age,_T: Total,ISCED11_1: Primary education,_T: Total,R: Rural,PCNT: %,2010,60.1,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L1: Completion rate for children of primary school age,_T: Total,ISCED11_1: Primary education,_T: Total,U: Urban,PCNT: %,2010,88.8,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L1: Completion rate for children of primary school age,_T: Total,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2010,68.6,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L2: Completion rate for adolescents of lower secondary school age,F: Female,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2010,37.6,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L2: Completion rate for adolescents of lower secondary school age,M: Male,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2010,40.5,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q1: Lowest,_T: Total,PCNT: %,2010,16.6,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q2: Second,_T: Total,PCNT: %,2010,18.8,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q3: Middle,_T: Total,PCNT: %,2010,29.6,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q4: Fourth,_T: Total,PCNT: %,2010,50.2,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q5: Highest,_T: Total,PCNT: %,2010,76.3,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,_T: Total,R: Rural,PCNT: %,2010,28.5,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,_T: Total,U: Urban,PCNT: %,2010,63,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L2: Completion rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2010,38.9,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L3: Completion rate for youth of upper secondary education school age,F: Female,ISCED11_3: Upper secondary education,_T: Total,_T: Total,PCNT: %,2010,17.7,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L3: Completion rate for youth of upper secondary education school age,M: Male,ISCED11_3: Upper secondary education,_T: Total,_T: Total,PCNT: %,2010,25.1,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,ISCED11_3: Upper secondary education,Q1: Lowest,_T: Total,PCNT: %,2010,5.8,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,ISCED11_3: Upper secondary education,Q2: Second,_T: Total,PCNT: %,2010,8.5,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,ISCED11_3: Upper secondary education,Q3: Middle,_T: Total,PCNT: %,2010,13.1,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,ISCED11_3: Upper secondary education,Q4: Fourth,_T: Total,PCNT: %,2010,22.7,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,ISCED11_3: Upper secondary education,Q5: Highest,_T: Total,PCNT: %,2010,53.4,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,ISCED11_3: Upper secondary education,_T: Total,R: Rural,PCNT: %,2010,14.7,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,ISCED11_3: Upper secondary education,_T: Total,U: Urban,PCNT: %,2010,35.2,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_CR_L3: Completion rate for youth of upper secondary education school age,_T: Total,ISCED11_3: Upper secondary education,_T: Total,_T: Total,PCNT: %,2010,21.1,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_READ_L2: Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in reading,_T: Total,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2015,56,,,,,UNSD Global SDG Database,,,2015,,
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ROFST_L1: Out-of-school rate for children of primary school age,F: Female,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2010,7.1,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ROFST_L1: Out-of-school rate for children of primary school age,M: Male,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2010,8.6,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ROFST_L1: Out-of-school rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q1: Lowest,_T: Total,PCNT: %,2010,15,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ROFST_L1: Out-of-school rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q2: Second,_T: Total,PCNT: %,2010,11.1,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ROFST_L1: Out-of-school rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q3: Middle,_T: Total,PCNT: %,2010,6.2,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ROFST_L1: Out-of-school rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q4: Fourth,_T: Total,PCNT: %,2010,4,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ROFST_L1: Out-of-school rate for children of primary school age,_T: Total,ISCED11_1: Primary education,Q5: Highest,_T: Total,PCNT: %,2010,2.9,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ROFST_L1: Out-of-school rate for children of primary school age,_T: Total,ISCED11_1: Primary education,_T: Total,R: Rural,PCNT: %,2010,9.6,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ROFST_L1: Out-of-school rate for children of primary school age,_T: Total,ISCED11_1: Primary education,_T: Total,U: Urban,PCNT: %,2010,3.4,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ROFST_L1: Out-of-school rate for children of primary school age,_T: Total,ISCED11_1: Primary education,_T: Total,_T: Total,PCNT: %,2010,7.9,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,F: Female,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2010,18.35954,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,M: Male,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2010,20.1526,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q1: Lowest,_T: Total,PCNT: %,2010,34.81651,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q2: Second,_T: Total,PCNT: %,2010,24.85361,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q3: Middle,_T: Total,PCNT: %,2010,17.86283,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q4: Fourth,_T: Total,PCNT: %,2010,9.950627,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,Q5: Highest,_T: Total,PCNT: %,2010,10.51253,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,_T: Total,R: Rural,PCNT: %,2010,23.19884,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,_T: Total,U: Urban,PCNT: %,2010,9.615775,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ROFST_L2: Out-of-school rate for adolescents of lower secondary school age,_T: Total,ISCED11_2: Lower secondary education,_T: Total,_T: Total,PCNT: %,2010,19.22285,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,F: Female,ISCED11_3: Upper secondary education,_T: Total,_T: Total,PCNT: %,2010,40.06984,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,M: Male,ISCED11_3: Upper secondary education,_T: Total,_T: Total,PCNT: %,2010,38.69271,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
UNICEF:EDUCATION(1.0): Education,BTN: Bhutan,ED_ROFST_L3: Out-of-school rate for youth of upper secondary school age,_T: Total,ISCED11_3: Upper secondary education,Q1: Lowest,_T: Total,PCNT: %,2010,54.90464,,,,AD: Adjusted,MICS 2010,,EOF: End of fieldwork,2010,,0: Not Known
